round,day,home,away,stadium,home_state,away_state
34,2023-11-11,Coritiba FC,Cruzeiro,Estádio Durival Britto e Silva,,MG
34,2023-11-12,Cuiabá-MT,Fortaleza,Arena Pantanal,,CE
34,2023-11-12,RB Bragantino,Botafogo,Estádio Nabi Abi Chedid,,RJ
34,2023-11-12,EC Bahia,Athletico-PR,Arena Fonte Nova,BA,PR
34,2023-11-12,Palmeiras,Internacional,Arena Barueri,SP,RS
34,2023-11-12,Santos,São Paulo,Estádio Urbano Caldeira,SP,SP
34,2023-11-12,Grêmio,Corinthians,Arena do Grêmio,RS,SP
34,2023-11-12,Vasco da Gama,América-MG,Estádio São Januário,RJ,MG
35,2023-11-25,Athletico-PR,Vasco da Gama,Ligga Arena,PR,RJ
35,2023-11-25,Corinthians,EC Bahia,Neo Química Arena ,SP,BA
35,2023-11-26,São Paulo,Cuiabá-MT,Estádio Cícero Pompeu de Toledo,SP,
35,2023-11-26,Atlético-MG,Grêmio,Arena MRV,MG,RS
35,2023-11-26,Internacional,RB Bragantino,Estádio Beira-Rio,RS,
35,2023-11-28,Goiás,Cruzeiro,Estádio Serra Dourada,GO,MG
35,2023-11-26,Fluminense,Coritiba FC,Estádio Jornalista Mário Filho,RJ,
35,2023-11-26,Fortaleza,Palmeiras,Estádio Governador Plácido Castelo,CE,SP
35,2023-11-26,América-MG,Flamengo,Estádio Municipal Parque do Sabiá,MG,RJ
35,2023-11-26,Botafogo,Santos,Estádio Olímpico Nilton Santos,RJ,SP
36,2023-11-29,Flamengo,Atlético-MG,Estádio Jornalista Mário Filho,RJ,MG
36,2023-11-29,Vasco da Gama,Corinthians,Estádio São Januário,RJ,SP
36,2023-11-29,Santos,Fluminense,Estádio Urbano Caldeira,SP,RJ
36,2023-11-30,Palmeiras,América-MG,Allianz Parque,SP,MG
36,2023-11-30,EC Bahia,São Paulo,Arena Fonte Nova,BA,SP
36,2023-11-30,Coritiba FC,Botafogo,Estádio Major Antônio Couto Pereira,,RJ
36,2023-12-01,RB Bragantino,Fortaleza,Estádio Nabi Abi Chedid,,CE
36,2023-11-30,Cuiabá-MT,Internacional,Arena Pantanal,,RS
36,2023-12-01,Cruzeiro,Athletico-PR,Estádio Governador Magalhães Pinto,MG,PR
36,2023-11-30,Grêmio,Goiás,Arena do Grêmio,RS,GO
37,2023-12-03,Botafogo,Cruzeiro,Estádio Olímpico Nilton Santos,RJ,MG
37,2023-12-03,Palmeiras,Fluminense,Allianz Parque,SP,RJ
37,2023-12-03,Flamengo,Cuiabá-MT,Estádio Jornalista Mário Filho,RJ,
37,2023-12-03,Grêmio,Vasco da Gama,Arena do Grêmio,RS,RJ
37,2023-12-03,RB Bragantino,Coritiba FC,Estádio Nabi Abi Chedid,,
37,2023-12-03,Athletico-PR,Santos,Ligga Arena,PR,SP
37,2023-12-03,América-MG,EC Bahia,Estádio Raimundo Sampaio,MG,BA
37,2023-12-03,Fortaleza,Goiás,Estádio Governador Plácido Castelo,CE,GO
37,2023-12-02,Corinthians,Internacional,Neo Química Arena ,SP,RS
37,2023-12-03,Atlético-MG,São Paulo,Estádio Governador Magalhães Pinto,MG,SP
38,2023-12-06,Goiás,América-MG,Estádio Serra Dourada,GO,MG
38,2023-12-07,Internacional,Botafogo,Estádio Beira-Rio,RS,RJ
38,2023-12-07,Vasco da Gama,RB Bragantino,Estádio São Januário,RJ,
38,2023-12-07,Cruzeiro,Palmeiras,Estádio Governador Magalhães Pinto,MG,SP
38,2023-12-07,Coritiba FC,Corinthians,Estádio Major Antônio Couto Pereira,,SP
38,2023-12-07,Cuiabá-MT,Athletico-PR,Arena Pantanal,,PR
38,2023-12-07,Santos,Fortaleza,Estádio Urbano Caldeira,SP,CE
38,2023-12-07,EC Bahia,Atlético-MG,Arena Fonte Nova,BA,MG
38,2023-12-07,Fluminense,Grêmio,Estádio Jornalista Mário Filho,RJ,RS
38,2023-12-07,São Paulo,Flamengo,Estádio Cícero Pompeu de Toledo,SP,RJ
