round,day,home,away,stadium,home_state,away_state
8,2023-05-29,Botafogo,América-MG,Estádio Olímpico Nilton Santos,RJ,MG
8,2023-05-27,Athletico-PR,Grêmio,Ligga Arena,PR,RS
8,2023-05-27,Fortaleza,Vasco da Gama,Estádio Governador Plácido Castelo,CE,RJ
8,2023-05-28,Internacional,EC Bahia,Estádio Beira-Rio,RS,BA
8,2023-05-28,Corinthians,Fluminense,Neo Química Arena ,SP,RJ
9,2023-06-03,América-MG,Corinthians,Estádio Raimundo Sampaio,MG,SP
9,2023-06-03,Athletico-PR,Botafogo,Ligga Arena,PR,RJ
9,2023-06-04,Grêmio,São Paulo,Arena do Grêmio,RS,SP
9,2023-06-04,Fluminense,RB Bragantino,Estádio Jornalista Mário Filho,RJ,
9,2023-06-04,Santos,Internacional,Estádio Urbano Caldeira,SP,RS
9,2023-06-06,Vasco da Gama,Flamengo,Estádio Jornalista Mário Filho,RJ,RJ
9,2023-06-04,Goiás,Cuiabá-MT,Estádio Serra Dourada,GO,
9,2023-06-03,Fortaleza,EC Bahia,Estádio Governador Plácido Castelo,CE,BA
9,2023-06-03,Cruzeiro,Atlético-MG,Estádio Municipal Parque do Sabiá,MG,MG
9,2023-06-04,Palmeiras,Coritiba FC,Allianz Parque,SP,
10,2023-06-11,São Paulo,Palmeiras,Estádio Cícero Pompeu de Toledo,SP,SP
10,2023-06-10,Coritiba FC,Santos,Estádio Major Antônio Couto Pereira,,SP
10,2023-06-10,Corinthians,Cuiabá-MT,Neo Química Arena ,SP,
10,2023-06-10,EC Bahia,Cruzeiro,Arena Fonte Nova,BA,MG
10,2023-06-10,Atlético-MG,RB Bragantino,Estádio Governador Magalhães Pinto,MG,
10,2023-06-11,Internacional,Vasco da Gama,Estádio Beira-Rio,RS,RJ
10,2023-06-11,Botafogo,Fortaleza,Estádio Olímpico Nilton Santos,RJ,CE
10,2023-06-11,América-MG,Athletico-PR,Estádio Governador Magalhães Pinto,MG,PR
10,2023-06-11,Goiás,Fluminense,Estádio Serra Dourada,GO,RJ
10,2023-06-11,Flamengo,Grêmio,Estádio Jornalista Mário Filho,RJ,RS
11,2023-06-23,Coritiba FC,Internacional,Estádio Major Antônio Couto Pereira,,RS
11,2023-06-23,Vasco da Gama,Goiás,Estádio São Januário,RJ,GO
11,2023-06-22,Fluminense,Atlético-MG,Estádio General Sylvio Raulino de Oliveira,RJ,MG
11,2023-06-22,Santos,Corinthians,Estádio Urbano Caldeira,SP,SP
11,2023-06-23,RB Bragantino,Flamengo,Estádio Nabi Abi Chedid,,RJ
11,2023-06-22,EC Bahia,Palmeiras,Arena Fonte Nova,BA,SP
11,2023-06-23,Grêmio,América-MG,Arena do Grêmio,RS,MG
11,2023-06-23,Cuiabá-MT,Botafogo,Arena Pantanal,,RJ
11,2023-06-22,São Paulo,Athletico-PR,Estádio Cícero Pompeu de Toledo,SP,PR
11,2023-06-22,Cruzeiro,Fortaleza,Estádio Governador Magalhães Pinto,MG,CE
12,2023-06-25,Palmeiras,Botafogo,Allianz Parque,SP,RJ
12,2023-06-25,Grêmio,Coritiba FC,Arena do Grêmio,RS,
12,2023-06-24,Fluminense,EC Bahia,Estádio Jornalista Mário Filho,RJ,BA
12,2023-06-24,Fortaleza,Atlético-MG,Estádio Governador Plácido Castelo,CE,MG
12,2023-06-24,Athletico-PR,Corinthians,Ligga Arena,PR,SP
12,2023-06-25,RB Bragantino,Goiás,Estádio Nabi Abi Chedid,,GO
12,2023-06-25,América-MG,Internacional,Estádio Raimundo Sampaio,MG,RS
12,2023-06-25,Cruzeiro,São Paulo,Estádio Governador Magalhães Pinto,MG,SP
12,2023-06-27,Vasco da Gama,Cuiabá-MT,Estádio Luso Brasileiro,RJ,
