Rodada,Data,Mandante,Visitante,Estádio,PRV
11,29/10/2023,São Paulo,Fortaleza,Morumbi,0
11,30/10/2023,Coritiba,Grêmio,Couto Pereira,0
11,30/10/2023,Cruzeiro,Fluminense,Mineirão,0
11,30/10/2023,Corinthians,Ceará,Neo Química Arena,0
11,31/10/2023,Cuiabá,Santos,Arena Pantanal,0
11,31/10/2023,Flamengo,Bahia,Maracanã,0
11,31/10/2023,Vasco,Atlético-MG,São Januário,0
12,05/11/2023,Palmeiras,Cruzeiro,Allianz Parque,0
12,05/11/2023,Vitória,Bahia,Barradão,0
12,05/11/2023,Corinthians,Cuiabá,Neo Química Arena,0
12,05/11/2023,Vasco,Grêmio,São Januário,0
12,06/11/2023,Fortaleza,Flamengo,Castelão,0
12,06/11/2023,Athletico-PR,Santos,Ligga Arena,0
12,06/11/2023,Botafogo,Atlético-MG,Nilton Santos (Engenhão),0
12,07/11/2023,Coritiba,São Paulo,Couto Pereira,0
12,07/11/2023,Sport,Ceará,Ilha do Retiro,0
12,07/11/2023,Fluminense,Internacional,Maracanã,0
13,12/11/2023,Palmeiras,Atlético-MG,Allianz Parque,0
13,12/11/2023,Bahia,Ceará,Arena Fonte Nova,0
13,12/11/2023,Fluminense,Santos,Maracanã,0
13,12/11/2023,Flamengo,Coritiba,Maracanã,1
13,13/11/2023,Cuiabá,Sport,Arena Pantanal,0
13,13/11/2023,Cruzeiro,Internacional,Mineirão,0
13,13/11/2023,Vasco,São Paulo,São Januário,0
13,14/11/2023,Fortaleza,Vitória,Castelão,0
13,14/11/2023,Athletico-PR,Corinthians,Ligga Arena,0
13,14/11/2023,Botafogo,Grêmio,Nilton Santos (Engenhão),0
14,19/11/2023,Internacional,Palmeiras,Beira-Rio,0
14,19/11/2023,Ceará,Fortaleza,Castelão,0
14,19/11/2023,Athletico-PR,Sport,Ligga Arena,0
14,19/11/2023,Botafogo,São Paulo,Nilton Santos (Engenhão),0
14,20/11/2023,Grêmio,Atlético-MG,Arena do Grêmio,0
14,20/11/2023,Coritiba,Vitória,Couto Pereira,0
14,20/11/2023,Fluminense,Corinthians,Maracanã,0
14,21/11/2023,Cuiabá,Bahia,Arena Pantanal,0
14,21/11/2023,Flamengo,Vasco,Maracanã,1
14,21/11/2023,Cruzeiro,Santos,Mineirão,0
15,26/11/2023,Grêmio,Palmeiras,Arena do Grêmio,0
15,26/11/2023,Vitória,Vasco,Barradão,0
15,26/11/2023,Fortaleza,Cuiabá,Castelão,0
15,26/11/2023,Corinthians,Cruzeiro,Neo Química Arena,0
15,27/11/2023,Bahia,Athletico-PR,Arena Fonte Nova,0
15,27/11/2023,Internacional,Santos,Beira-Rio,0
15,27/11/2023,Botafogo,Flamengo,Nilton Santos (Engenhão),0
15,28/11/2023,Atlético-MG,São Paulo,Arena MRV,0
15,28/11/2023,Ceará,Coritiba,Castelão,1
15,28/11/2023,Fluminense,Sport,Maracanã,0
16,03/12/2023,Palmeiras,Santos,Allianz Parque,0
16,03/12/2023,Bahia,Fluminense,Arena Fonte Nova,0
16,03/12/2023,Cuiabá,Coritiba,Arena Pantanal,0
16,03/12/2023,Flamengo,Atlético-MG,Maracanã,0
16,04/12/2023,Grêmio,São Paulo,Arena do Grêmio,0
16,04/12/2023,Cruzeiro,Sport,Mineirão,0
16,04/12/2023,Vasco,Ceará,São Januário,0
16,05/12/2023,Vitória,Botafogo,Barradão,0
16,05/12/2023,Internacional,Corinthians,Beira-Rio,0
16,05/12/2023,Athletico-PR,Fortaleza,Ligga Arena,0
17,10/12/2023,Palmeiras,São Paulo,Allianz Parque,0
17,10/12/2023,Internacional,Sport,Beira-Rio,0
17,10/12/2023,Athletico-PR,Coritiba,Ligga Arena,0
17,10/12/2023,Botafogo,Ceará,Nilton Santos (Engenhão),0
17,11/12/2023,Atlético-MG,Vitória,Arena MRV,0
17,11/12/2023,Fortaleza,Fluminense,Castelão,0
17,11/12/2023,Santos,Corinthians,Vila Belmiro,0
17,12/12/2023,Bahia,Cruzeiro,Arena Fonte Nova,0
17,12/12/2023,Flamengo,Grêmio,Maracanã,0
17,12/12/2023,Vasco,Cuiabá,São Januário,0
18,17/12/2023,Palmeiras,Corinthians,Allianz Parque,0
18,17/12/2023,Vitória,Grêmio,Barradão,0
18,17/12/2023,Athletico-PR,Vasco,Ligga Arena,0
18,17/12/2023,Cruzeiro,Fortaleza,Mineirão,0
18,18/12/2023,Bahia,Internacional,Arena Fonte Nova,0
18,18/12/2023,São Paulo,Flamengo,Morumbi,0
18,18/12/2023,Botafogo,Cuiabá,Nilton Santos (Engenhão),0
18,19/12/2023,Ceará,Atlético-MG,Castelão,0
18,19/12/2023,Sport,Santos,Ilha do Retiro,0
18,19/12/2023,Fluminense,Coritiba,Maracanã,0
19,24/12/2023,Palmeiras,Flamengo,Allianz Parque,0
19,24/12/2023,Bahia,Santos,Arena Fonte Nova,0
19,24/12/2023,Cuiabá,Atlético-MG,Arena Pantanal,0
19,24/12/2023,Fluminense,Vasco,Maracanã,0
19,25/12/2023,Grêmio,Ceará,Arena do Grêmio,0
19,25/12/2023,Cruzeiro,Coritiba,Mineirão,0
